Complete_company_name,Company_code,Company_abbreviation,Company_name
NULL,000982,中银绒业,宁夏中银绒业股份有限公司
NULL,000983,西山煤电,山西西山煤电股份有限公司
NULL,000985,大庆华科,大庆华科股份有限公司
NULL,000986,NULL,NULL
NULL,000987,越秀金控,广州友谊集团股份有限公司
NULL,000988,华工科技,华工科技产业股份有限公司
NULL,000989,九芝堂,九芝堂股份有限公司
NULL,000990,诚志股份,诚志股份有限公司
NULL,000992,NULL,NULL
NULL,000993,闽东电力,福建闽东电力股份有限公司
NULL,000995,*ST皇台,甘肃皇台酒业股份有限公司
NULL,000996,中国中期,中国中期投资股份有限公司
NULL,000997,新大陆,福建新大陆电脑股份有限公司
NULL,000998,隆平高科,袁隆平农业高科技股份有限公司
NULL,000999,华润三九,华润三九医药股份有限公司
NULL,001696,宗申动力,重庆宗申动力机械股份有限公司
NULL,001896,豫能控股,河南豫能控股股份有限公司
NULL,001979,招商蛇口,招商局蛇口工业区控股股份有限公司
NULL,002001,新和成,浙江新和成股份有限公司
NULL,002002,鸿达兴业,鸿达兴业股份有限公司
NULL,002003,伟星股份,浙江伟星实业发展股份有限公司
NULL,002004,华邦健康,华邦生命健康股份有限公司
NULL,002005,德豪润达,广东德豪润达电气股份有限公司
NULL,002006,精功科技,浙江精功科技股份有限公司
NULL,002007,华兰生物,华兰生物工程股份有限公司
NULL,002008,大族激光,NULL
NULL,002009,天奇股份,天奇自动化工程股份有限公司
NULL,002010,传化股份,浙江传化股份有限公司
NULL,002011,盾安环境,NULL
NULL,002012,凯恩股份,浙江凯恩特种材料股份有限公司
NULL,002013,中航机电,中航工业机电系统股份有限公司
NULL,002014,永新股份,黄山永新股份有限公司
NULL,002015,霞客环保,江苏霞客环保色纺股份有限公司
NULL,002016,世荣兆业,广东世荣兆业股份有限公司
NULL,002017,东信和平,东信和平科技股份有限公司
NULL,002018,华信国际,安徽华信国际控股股份有限公司
NULL,002019,亿帆鑫富,亿帆鑫富药业股份有限公司
NULL,002020,京新药业,浙江京新药业股份有限公司
NULL,002021,中捷资源,中捷资源投资股份有限公司
NULL,002022,科华生物,上海科华生物工程股份有限公司
NULL,002023,海特高新,四川海特高新技术股份有限公司
NULL,002024,苏宁云商,苏宁云商集团股份有限公司
NULL,002025,航天电器,贵州航天电器股份有限公司
NULL,002026,山东威达,山东威达机械股份有限公司
NULL,002027,分众传媒,分众传媒信息技术股份有限公司
NULL,002028,思源电气,思源电气股份有限公司
NULL,002029,七匹狼,福建七匹狼实业股份有限公司
NULL,002030,达安基因,中山大学达安基因股份有限公司
NULL,002031,巨轮智能,巨轮智能装备股份有限公司
NULL,002032,苏泊尔,浙江苏泊尔股份有限公司
NULL,002033,丽江旅游,丽江玉龙旅游股份有限公司
NULL,002034,美欣达,浙江美欣达印染集团股份有限公司
NULL,002035,华帝股份,华帝股份有限公司
NULL,002036,联创电子,联创电子科技股份有限公司
NULL,002037,久联发展,贵州久联民爆器材发展股份有限公司
NULL,002038,双鹭药业,北京双鹭药业股份有限公司
NULL,002039,黔源电力,贵州黔源电力股份有限公司
